City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Taltal,CL,2021-11-21 22:00:21,-25.4,-70.4833,66.11,67,96,4.88
132,Bubaque,GW,2021-11-21 22:03:27,11.2833,-15.8333,83.34,75,49,10.42
133,Maridi,SS,2021-11-21 22:03:27,4.9158,29.4742,70.74,47,50,1.5
134,Dunedin,NZ,2021-11-21 22:03:27,-45.8742,170.5036,51.78,87,100,4.43
135,Chernyshevskiy,RU,2021-11-21 22:03:28,63.0128,112.4714,-22.72,100,97,0.87
136,Takoradi,GH,2021-11-21 22:03:28,4.8845,-1.7554,80.15,83,46,6.2
137,Chuy,UY,2021-11-21 22:03:28,-33.6971,-53.4616,73.76,67,6,9.37
138,Beringovskiy,RU,2021-11-21 22:04:28,63.05,179.3167,1.65,99,100,12.24
139,Isangel,VU,2021-11-21 22:04:29,-19.55,169.2667,81.36,70,96,7.56
140,Tual,ID,2021-11-21 22:04:29,-5.6667,132.75,83.91,71,84,5.97
141,Krasnoselkup,RU,2021-11-21 21:59:43,65.7,82.4667,7.92,93,100,19.13
142,La Ronge,CA,2021-11-21 22:01:34,55.1001,-105.2842,8.82,78,90,3.44
143,Ormara,PK,2021-11-21 22:00:46,25.2088,64.6357,76.28,30,0,5.59
144,Bredasdorp,ZA,2021-11-21 22:04:30,-34.5322,20.0403,62.28,85,100,13.73
145,Staryy Nadym,RU,2021-11-21 22:04:30,65.6118,72.6842,18.1,95,100,17.31
146,Kourou,GF,2021-11-21 22:04:30,5.1552,-52.6478,81.1,84,37,6.24
147,Beja,TN,2021-11-21 22:04:30,36.7256,9.1817,55.31,76,74,3.0
148,Shakawe,BW,2021-11-21 22:04:31,-18.3667,21.85,76.23,53,78,9.86
149,Marawi,PH,2021-11-21 22:00:57,7.9986,124.2928,65.64,92,17,2.15
150,Zaykovo,RU,2021-11-21 22:04:31,57.5613,62.7568,27.46,94,100,7.83
151,Mar Del Plata,AR,2021-11-21 22:04:31,-38.0023,-57.5575,65.88,75,90,4.0
152,Havelock,US,2021-11-21 22:02:15,34.8791,-76.9013,66.97,74,89,4.16
153,Beinamar,TD,2021-11-21 22:04:32,8.6698,15.3813,78.87,30,78,1.41
154,Barra Do Garcas,BR,2021-11-21 22:04:32,-15.89,-52.2567,80.85,76,98,3.13
155,Talnakh,RU,2021-11-21 22:04:32,69.4865,88.3972,-19.89,81,13,9.13
156,Nalut,LY,2021-11-21 22:04:32,30.3333,10.85,63.39,50,34,7.0
157,Nawada,IN,2021-11-21 22:04:33,24.8833,85.5333,66.7,63,2,4.47
158,Avera,US,2021-11-21 22:04:33,33.194,-82.5271,68.72,66,74,3.74
159,Nanortalik,GL,2021-11-21 22:04:33,60.1432,-45.2371,32.34,93,100,4.0
160,Pacifica,US,2021-11-21 22:00:21,37.6138,-122.4869,71.22,48,1,5.01
161,Izhma,RU,2021-11-21 22:04:33,65.0083,53.9113,18.41,96,100,3.98
162,Saint-Joseph,RE,2021-11-21 22:00:08,-21.3667,55.6167,71.98,77,10,6.17
163,Bulawayo,ZW,2021-11-21 22:04:34,-20.15,28.5833,63.46,92,100,6.93
164,Alofi,NU,2021-11-21 22:04:34,-19.0595,-169.9187,78.62,78,26,11.56
165,Kodiak,US,2021-11-21 22:04:34,57.79,-152.4072,29.71,40,1,6.91
166,Provideniya,RU,2021-11-21 22:00:13,64.3833,-173.3,8.71,56,0,6.71
167,Abha,SA,2021-11-21 22:04:34,18.2164,42.5053,52.05,47,0,5.75
168,Puerto Quijarro,BO,2021-11-21 22:04:35,-17.7833,-57.7667,85.01,62,99,3.27
169,Santa Cruz,BO,2021-11-21 21:55:32,-17.8,-63.1667,93.25,38,20,3.44
170,The Pas,CA,2021-11-21 22:04:35,53.8251,-101.2541,10.42,72,90,12.66
171,Poum,NC,2021-11-21 21:59:06,-20.2333,164.0167,76.82,73,0,2.68
172,Busselton,AU,2021-11-21 22:00:12,-33.65,115.3333,60.08,86,98,16.4
173,Clyde River,CA,2021-11-21 22:04:35,70.4692,-68.5914,1.63,92,93,5.75
174,Calatayud,ES,2021-11-21 22:04:36,41.3535,-1.6432,57.78,73,99,3.04
175,San Jose,US,2021-11-21 22:02:03,37.3394,-121.895,74.1,45,1,4.61
176,Gonbad-E Qabus,IR,2021-11-21 22:02:41,37.25,55.1672,52.32,64,75,2.35
177,Mirnyy,RU,2021-11-21 22:04:36,62.5353,113.9611,-22.31,100,91,0.49
178,Pevek,RU,2021-11-21 22:00:14,69.7008,170.3133,-18.76,98,26,4.16
179,Dejen,ET,2021-11-21 22:04:36,10.1667,38.1333,53.42,38,100,3.4
180,Saint-Philippe,RE,2021-11-21 22:04:37,-21.3585,55.7679,72.99,76,4,6.73
181,Weiden,DE,2021-11-21 22:04:37,49.6775,12.1567,40.84,95,90,0.0
182,Calahorra,ES,2021-11-21 22:04:37,42.3051,-1.9652,49.91,78,100,9.17
183,Port Elizabeth,ZA,2021-11-21 22:01:26,-33.918,25.5701,69.1,90,99,14.85
184,Te Anau,NZ,2021-11-21 22:02:44,-45.4167,167.7167,50.77,96,100,1.68
185,Malanje,AO,2021-11-21 22:05:37,-9.5402,16.341,63.46,98,81,3.71
186,Abu Zabad,SD,2021-11-21 22:05:38,12.35,29.25,70.34,21,61,12.8
187,Manado,ID,2021-11-21 22:05:38,1.487,124.8455,75.97,94,40,1.14
188,Chegutu,ZW,2021-11-21 22:05:38,-18.1302,30.1407,69.55,68,98,3.6
189,Conceicao Do Araguaia,BR,2021-11-21 22:01:07,-8.2578,-49.2647,80.46,71,98,3.76
190,Pimentel,PE,2021-11-21 22:05:38,-6.8367,-79.9342,70.09,64,0,14.97
191,Beloha,MG,2021-11-21 22:05:39,-25.1667,45.05,67.28,68,41,11.05
192,Faanui,PF,2021-11-21 22:05:39,-16.4833,-151.75,79.75,67,12,8.39
193,Xichang,CN,2021-11-21 22:05:39,27.8964,102.2634,39.74,93,100,5.1
194,Jalu,LY,2021-11-21 21:59:11,29.0331,21.5482,62.47,57,1,4.47
195,Qaqortoq,GL,2021-11-21 22:05:39,60.7167,-46.0333,34.3,92,98,2.3
196,Mansfield,GB,2021-11-21 22:05:40,53.1333,-1.2,39.29,90,8,10.85
197,Norman Wells,CA,2021-11-21 22:05:40,65.282,-126.8329,-14.76,76,75,2.3
198,Begoro,GH,2021-11-21 22:05:40,6.3871,-0.3774,72.81,91,64,4.18
199,Esso,RU,2021-11-21 22:05:40,55.9333,158.7,17.29,93,100,1.77
200,Mazamari,PE,2021-11-21 22:05:41,-11.3258,-74.5308,79.75,68,79,0.81
201,Airai,TL,2021-11-21 22:04:43,-8.9266,125.4092,62.98,84,100,1.77
202,Tuatapere,NZ,2021-11-21 22:05:41,-46.1333,167.6833,51.44,95,100,1.16
203,Belvedere Marittimo,IT,2021-11-21 22:05:42,39.6179,15.8617,53.11,85,99,4.54
204,Moundou,TD,2021-11-21 22:05:42,8.5667,16.0833,78.91,31,74,1.05
205,Taoudenni,ML,2021-11-21 22:05:42,22.6783,-3.9836,80.19,26,91,7.18
206,Mitsamiouli,KM,2021-11-21 22:05:42,-11.3847,43.2844,79.16,76,8,7.09
207,Dubbo,AU,2021-11-21 22:05:43,-32.25,148.6167,62.73,67,100,20.71
208,Atocha,BO,2021-11-21 22:05:43,-20.9333,-66.2333,60.48,29,85,23.0
209,Lebu,CL,2021-11-21 22:05:43,-37.6167,-73.65,57.92,85,2,17.05
210,Bonoua,CI,2021-11-21 22:05:43,5.2741,-3.595,82.02,90,60,5.28
211,Broome,US,2021-11-21 22:05:44,42.2506,-75.833,46.0,69,90,11.99
212,Los Llanos De Aridane,ES,2021-11-21 22:05:44,28.6585,-17.9182,69.55,96,40,3.0
213,Pandan,PH,2021-11-21 22:00:18,14.0453,124.1694,79.47,88,14,3.65
214,Ancud,CL,2021-11-21 22:00:20,-41.8697,-73.8203,53.67,95,100,8.28
215,Olafsvik,IS,2021-11-21 22:05:44,64.8945,-23.7142,42.87,80,100,21.81
216,Vanavara,RU,2021-11-21 22:05:44,60.34,102.2797,2.97,96,100,5.12
217,Nokaneng,BW,2021-11-21 22:05:45,-19.6667,22.2667,75.63,63,49,10.98
218,Monteagudo,BO,2021-11-21 22:05:45,-19.8167,-63.9833,82.94,36,54,7.11
219,Comarapa,BO,2021-11-21 22:05:45,-17.9,-64.4833,66.56,63,52,4.52
220,Mwingi,KE,2021-11-21 22:05:46,-0.9344,38.0601,66.43,87,68,1.88
221,Luderitz,NA,2021-11-21 22:05:46,-26.6481,15.1594,60.17,80,0,10.96
222,Henties Bay,NA,2021-11-21 22:05:46,-22.116,14.2845,60.85,90,0,4.68
223,Chapleau,CA,2021-11-21 22:01:33,47.8405,-83.4034,33.26,95,100,10.8
224,Lorengau,PG,2021-11-21 22:05:47,-2.0226,147.2712,84.07,71,73,3.04
225,Kichera,RU,2021-11-21 22:05:47,55.9375,110.0997,-1.82,77,92,4.59
226,Berezovyy,RU,2021-11-21 22:05:47,51.6667,135.7,5.77,94,100,2.75
227,Porbandar,IN,2021-11-21 22:05:47,21.6422,69.6093,80.73,56,100,10.11
228,Tigzirt,DZ,2021-11-21 22:06:48,36.8886,4.1198,58.41,84,46,12.86
229,Sinnamary,GF,2021-11-21 22:06:48,5.3833,-52.95,79.27,82,43,8.72
230,Manta,EC,2021-11-21 22:06:48,-0.95,-80.7333,74.98,78,75,10.36
231,Bilma,NE,2021-11-21 22:06:48,18.6853,12.9164,77.38,22,3,6.33
232,Lasa,IT,2021-11-21 22:06:49,46.6166,10.7002,43.54,85,100,0.56
233,Vaitape,PF,2021-11-21 22:06:49,-16.5167,-151.75,79.75,67,11,8.39
234,Richland,US,2021-11-21 22:06:49,40.7834,-82.5499,42.19,94,90,3.0
235,Kaitangata,NZ,2021-11-21 22:00:14,-46.2817,169.8464,51.33,90,100,2.15
236,Caravelas,BR,2021-11-21 22:06:49,-17.7125,-39.2481,72.05,90,99,12.15
237,Nemuro,JP,2021-11-21 22:06:50,43.3236,145.575,43.18,68,91,13.73
238,Ramnagar,IN,2021-11-21 22:06:50,29.4,79.1167,58.87,55,0,4.14
239,Sri Aman,MY,2021-11-21 22:06:50,1.2376,111.4621,73.58,96,94,0.83
240,Phuket,TH,2021-11-21 22:04:16,8.0,98.25,85.08,100,20,0.0
241,Chapais,CA,2021-11-21 22:02:45,49.7834,-74.8492,32.41,82,99,11.14
242,Ust-Karsk,RU,2021-11-21 22:06:50,52.7011,118.8077,8.42,98,99,2.37
243,Zyryanovsk,KZ,2021-11-21 22:06:51,49.7386,84.2719,-0.08,95,100,1.3
244,Katobu,ID,2021-11-21 22:06:51,-4.9408,122.5276,75.16,91,86,1.12
245,Vestmannaeyjar,IS,2021-11-21 22:06:51,63.4427,-20.2734,44.91,81,100,19.13
246,Nowa Ruda,PL,2021-11-21 22:06:51,50.5801,16.5016,42.76,86,100,1.01
247,Ligayan,PH,2021-11-21 22:06:52,4.6533,119.4706,83.62,69,33,2.62
248,Launceston,AU,2021-11-21 22:06:52,-41.45,147.1667,60.62,74,75,4.0
