City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
115,Itarema,BR,-2.9248,-39.9167,81.32,78,86,16.37,overcast clouds
116,Fortuna,US,40.5982,-124.1573,66.92,53,1,4.0,clear sky
117,Morant Bay,JM,17.8815,-76.4093,87.42,72,83,4.52,broken clouds
118,Omboue,GA,-1.5746,9.2618,76.44,92,100,5.03,overcast clouds
119,Liverpool,GB,53.4106,-2.9779,45.63,87,0,3.44,clear sky
120,Sistranda,NO,63.7256,8.834,43.9,66,100,23.89,overcast clouds
121,Poplar Bluff,US,36.757,-90.3929,49.73,18,40,0.0,scattered clouds
122,Vaini,TO,-21.2,-175.2,80.76,83,20,4.61,few clouds
123,Buchanan,LR,5.8808,-10.0467,78.76,82,53,7.27,broken clouds
124,Saint-Francois,FR,46.4154,3.9054,44.67,76,90,14.97,overcast clouds
125,Umm Kaddadah,SD,13.6017,26.6876,72.01,25,8,15.12,clear sky
126,Dikson,RU,73.5069,80.5464,-15.3,81,100,16.42,overcast clouds
127,Nanortalik,GL,60.1432,-45.2371,23.9,81,100,11.81,overcast clouds
128,Iqaluit,CA,63.7506,-68.5145,28.13,74,90,12.66,light snow
129,Harper,LR,4.375,-7.7169,78.58,83,40,4.5,light rain
130,Terrace,CA,54.5163,-128.6035,42.42,100,90,13.8,light intensity shower rain
131,Altamont,US,42.2068,-121.7372,47.77,52,1,3.44,clear sky
132,Lompoc,US,34.6391,-120.4579,84.0,28,1,4.61,clear sky
133,Abha,SA,18.2164,42.5053,60.62,59,0,3.44,clear sky
134,Mount Gambier,AU,-37.8333,140.7667,62.51,67,100,9.22,overcast clouds
135,Hithadhoo,MV,-0.6,73.0833,80.78,80,100,15.5,overcast clouds
136,Paamiut,GL,61.994,-49.6678,15.94,82,99,6.08,overcast clouds
137,Barrow,US,71.2906,-156.7887,-5.78,77,20,8.05,haze
138,Qaanaaq,GL,77.484,-69.3632,-8.72,74,94,5.23,overcast clouds
139,Tessalit,ML,20.1986,1.0114,76.14,28,13,5.99,few clouds
140,Shunyi,CN,40.125,116.6453,17.55,86,0,4.47,clear sky
141,Bambous Virieux,MU,-20.3428,57.7575,75.45,78,40,3.44,scattered clouds
142,Atambua,ID,-9.1061,124.8925,75.24,86,99,0.98,overcast clouds
143,Khalkhal,IR,37.6189,48.5258,40.48,81,6,4.52,clear sky
144,Paka,MY,4.6374,103.4368,76.98,94,93,0.0,overcast clouds
145,Komatipoort,ZA,-25.4332,31.9548,69.04,96,100,3.09,overcast clouds
146,Yaan,NG,7.3833,8.5667,84.2,52,100,8.52,overcast clouds
147,Cherskiy,RU,68.75,161.3,-32.15,100,15,2.77,few clouds
148,Anqing,CN,30.5092,117.0506,39.58,40,43,3.87,scattered clouds
149,Tete,MZ,-16.1564,33.5867,95.09,38,0,9.22,clear sky
150,Springbok,ZA,-29.6643,17.8865,54.21,91,5,4.65,clear sky
151,Acarau,BR,-2.8856,-40.12,81.72,77,94,17.56,overcast clouds
152,Bambanglipuro,ID,-7.95,110.2833,63.61,86,100,2.21,moderate rain
153,Koulikoro,ML,14.0,-7.75,78.39,20,27,7.92,scattered clouds
154,Grindavik,IS,63.8424,-22.4338,41.47,70,75,24.16,broken clouds
155,Port-Cartier,CA,50.0334,-66.8654,43.02,97,100,12.15,overcast clouds
156,Sault Sainte Marie,CA,46.5168,-84.3333,30.88,83,90,13.8,snow
157,Ostersund,SE,63.1792,14.6357,32.61,100,90,5.75,snow
158,Cayenne,GF,4.9333,-52.3333,84.24,86,14,5.75,few clouds
159,Newport,GB,51.5877,-2.9984,43.45,84,100,9.86,overcast clouds
160,Hambantota,LK,6.1241,81.1185,77.67,83,85,2.75,overcast clouds
161,Hasaki,JP,35.7333,140.8333,54.28,67,100,9.86,overcast clouds
162,Sibolga,ID,1.7427,98.7792,75.54,87,98,2.95,overcast clouds
163,Normandin,CA,48.8333,-72.5321,32.31,64,39,25.32,heavy snow
164,Malanje,AO,-9.5402,16.341,63.7,90,56,0.47,broken clouds
165,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.4,100,90,17.27,overcast clouds
166,Meulaboh,ID,4.1363,96.1285,75.34,93,99,6.11,overcast clouds
167,Songea,TZ,-10.6833,35.65,69.19,42,36,3.78,scattered clouds
168,Bengkulu,ID,-3.8004,102.2655,75.54,89,100,4.05,overcast clouds
169,Pauini,BR,-7.7136,-66.9764,73.8,99,100,1.19,overcast clouds
170,Vardo,NO,70.3705,31.1107,28.38,50,100,26.46,overcast clouds
171,Kendari,ID,-3.945,122.4989,74.57,95,84,2.15,broken clouds
