City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
566,Impfondo,CG,73.58,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
567,Jalingo,NG,81.77,scattered clouds,8.8833,11.3667,Debright Motel
575,Eydhafushi,MV,81.23,broken clouds,5.1033,73.0708,Soneva Fushi
578,Sorong,ID,77.31,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
580,Prainha,BR,83.55,broken clouds,-1.8,-53.48,Casa Rocha
581,Baiao,BR,79.54,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
587,Zachary,US,70.79,clear sky,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
588,Koulamoutou,GA,72.14,moderate rain,-1.1303,12.4736,Motel Bouenguidi
589,Mumford,GH,81.05,overcast clouds,5.2618,-0.759,Spanish Villa
593,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
594,Bata,GQ,78.8,overcast clouds,1.8639,9.7658,Hotel Elik Melen
597,Manzanillo,CU,81.34,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
598,Sao Geraldo Do Araguaia,BR,81.77,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
600,Hervey Bay,AU,73.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
606,Santa Vitoria,BR,83.48,broken clouds,-18.8386,-50.1214,Center Hotel
611,Angoche,MZ,78.21,broken clouds,-16.2325,39.9086,Guest House HESADA
615,Floriano,BR,86.41,few clouds,-6.7669,-43.0225,Hotel Maktub
617,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
619,Parambu,BR,87.51,broken clouds,-6.2111,-40.6944,Hotel pousada santo onofre
622,Qui Nhon,VN,76.26,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
623,Shakawe,BW,70.5,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
629,Mouila,GA,74.71,light rain,-1.8685,11.0559,Hôtel du Lac Bleu
630,Luwuk,ID,77.88,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
632,Vega De Alatorre,MX,78.91,scattered clouds,20.0333,-96.6333,El Polo Norte
636,Moussoro,TD,82.92,overcast clouds,13.6408,16.4901,Hôtel Salama
